time_steps,rho,T_IC,T,T_error,U,U_error,P,P_error,kin_energy,kin_energy_error,mu ,mu_error,diff_a,diff_b,diff_resid,diff_r2,cv,eq_time,P_verlet,dt,D,D_error
10000,0.45,4.625,4.615161485,0.0006925676,4079.46965207,0.1295459666,1.6507224125,0.000097813,5981.24938352,0.8975699583,-1.558465,0.0320396009,0.0202566965,-0.388886546,1460.39869437,0.9993336225,1471.49219649,6000,1.68,0.004,0.8440290225,0.0246677817
10000,0.45,2.935,2.9596848425,0.0005185059,1628.54959193,0.0737568382,1.39463778,6.89163283083E-005,3835.75163131,0.6719900152,-0.54549225,0.0131166328,0.0161529214,-0.9565402678,446.935451899,0.9996791671,1509.8515692,6000,1.38,0.004,0.6730383925,0.0136463587
10000,0.45,1.764,1.78698105,0.000293683,-156.023364802,0.0266146251,0.7899856775,3.42199094998E-005,2315.92758312,0.380617393,-0.1087775875,0.0045889363,0.0104680367,-0.6561605542,207.71606987,0.9996449733,1538.5236734,6000,0.76,0.004,0.4361681941,0.0093031372
10000,0.45,1.744,1.7288260025,0.0001864251,-244.577069827,0.0277487933,0.7504929575,2.70827571283E-005,2240.55849392,0.2415934821,-0.095348125,0.004613831,0.0107031497,-0.8195337599,155.197409679,0.999746238,1536.63860181,6000,0.74,0.004,0.4459645722,0.0080414916
10000,0.45,1.71,1.71017486,0.0002136794,-281.469912485,0.0336960865,0.7098578275,3.59658462544E-005,2216.3866543,0.2769216799,-0.0918470125,0.0037221385,0.0099197209,-0.9304017385,485.754223611,0.9990759578,1537.83756361,6000,0.74,0.004,0.4133217049,0.0142266508
6000,0.65,2.557,2.50811298,0.0003172315,19.7481646533,0.0799085675,2.11798295,0.000141265,3250.51454066,0.4111313112,-0.1401748333,0.0076038298,0.0071245057,-0.4518761015,78.695874845,0.9993120974,1644.29579472,3000,2.14,0.004,0.2968544043,88.0961656536
6000,0.65,1.585,1.57664781,0.0003824935,-1560.48628602,0.0487271266,1.2659320967,6.48001345149E-005,2043.33547879,0.4957092643,-0.0162097333,0.0012736626,0.0048680863,-0.1075651643,29.0014009068,0.9994569375,1789.31916846,3000,1.25,0.004,0.2028369271,53.4798906951
8000,0.65,1.036,1.02751298,0.0002031676,-2530.6826554,0.0366956226,-0.165721535,0.0002331155,1331.65678217,0.2633005721,-0.0009150745,0.0001072429,0.0032602177,-0.1482814786,10.0579713078,0.9985847205,1824.96456913,6000,-0.11,0.004,0.1358424027,31.4946088305
6000,0.65,0.9,0.91997561,0.0002079208,-2730.77975086,0.0234204886,-0.6862880767,0.000375577,1192.28847565,0.2694655898,-0.0003651258,5.56573652296E-005,0.0030683597,-0.1398760528,4.0851761445,0.9998073815,1809.34508665,3000,-0.74,0.004,0.1278483193,20.0718043983
8000,0.75,2.849,2.8166915333,0.0004217408,208.91781895,0.0761120444,3.1142097333,0.0003182881,3650.43216629,0.5465603527,-0.1468995,0.0091051808,0.0056803386,-0.2121244202,25.1755336882,0.9996536915,1740.02738795,5000,3.1,0.004,0.2366807763,0.0040484962
8000,0.75,1.304,1.30092996,0.0004654632,-2569.90686913,0.041998751,1.61162168,0.0002196388,1686.0053563,0.6032338794,-0.0022013233,0.000291459,0.0027518797,-0.0252646698,14.0704632545,0.9991757201,2050.3065817,5000,1.61,0.004,0.1146616532,0.0030266248
8000,0.75,1.071,1.07977059,0.0002491487,-2996.80170079,0.0284546739,0.8919703,2.47616031163E-005,1399.38264941,0.3228901879,-0.0004952845,7.12872647445E-005,0.0023841305,-0.1099360103,8.7742382481,0.9993150875,1855.85671604,5000,0.89,0.004,0.099338772,0.0023900617
10000,0.75,1.069,1.057019474,0.0003138587,-3046.1602175,0.0229838283,0.76304345,7.05521619442E-005,1369.89715339,0.4067583359,-0.0004050021,6.59552620387E-005,0.0011689436,-0.155857588,37.9558822848,0.9973420499,1926.91900428,5000,0.9,0.002,0.0974119646,0.0056240468
10000,0.75,0.881,0.890882256,0.0002366887,-3375.21334123,0.0167944419,-0.127005836,0.0003009224,1154.58337587,0.3067516271,-7.874859E-005,1.36515005352E-005,0.0009449006,-0.0303935751,3.2142270988,0.9996547251,2034.36253554,5000,-0.12,0.002,0.0787417202,0.0016366193
10000,0.75,0.827,0.822492724,0.0001363682,-3508.95139075,0.0184876699,-0.581398388,0.0002680597,1065.95051504,0.1767320147,-3.311329E-005,5.87661820998E-006,0.0008190268,-0.0694646426,5.5630262236,0.9992049762,2004.95736802,5000,-0.54,0.002,0.0682522369,0.0021531036
5000,0.85,2.888999939,2.9298396956,0.0007654095,225.460944931,0.1125596815,4.3613628333,0.0008835615,3797.07223009,0.9919739715,-0.1187016667,0.0077076969,0.0044677294,-0.2883214186,107.552631923,0.9992914121,1916.45950338,500,4.36,0.004,0.186155392,0.0133885917
3000,0.85,2.2019999027,2.176559696,0.0006498362,-1237.80808792,0.1390637655,4.172064552,0.0009471498,2820.8214383,0.8421807368,-0.02894954,0.0026261867,0.0032177407,-0.1247058548,11.2617804261,0.9991663515,1981.64274016,500,4.2,0.004,0.1340725306,0.0072206559
8000,0.85,1.214,1.203790976,0.0002647003,-3223.06589462,0.0446656927,2.995281898,0.0004344308,1560.11305464,0.3430532825,-0.0004888719,7.44834615025E-005,0.0015712063,-0.0747342418,32.7144642209,0.9987302089,2092.33974886,3000,3.06,0.004,0.0654669277,0.0046150276
3000,0.85,1.128000021,1.122010864,0.0002410997,-3398.45032478,0.0733097878,2.742686764,0.0003812208,1454.12605308,0.3124618721,-0.000252799,4.21929355343E-005,0.0014844358,-0.0070998036,2.1324031068,0.9992582382,2261.14990928,500,2.78,0.004,0.0618514921,0.0031420116
3000,0.85,0.8799999952,0.88255758,0.0002299978,-3926.72873373,0.0644555314,1.612789896,0.0001555785,1143.79464023,0.2980900825,-2.007786E-005,3.44742368159E-006,0.0011489275,-0.0167692471,1.5351784169,0.9991086945,2233.82481237,500,1.64,0.004,0.0478719798,0.0026659534
6000,0.85,0.7860000134,0.7865487644,0.0001265626,-4137.64914543,0.0160120681,0.9611070267,6.32434621615E-006,1019.36715895,0.1640194664,-4.96065888889E-006,1.24688103049E-006,0.0009201781,-0.0334449677,12.9400438536,0.9979928785,2272.58004832,1500,0.99,0.004,0.038340753,0.0038700003
6000,0.85,0.7820000052,0.7814727067,0.0002640628,-4143.40269977,0.0271845319,0.9587316311,1.41477068459E-005,1012.78857664,0.3422149387,-4.46286444444E-006,1.09378368594E-006,0.0007824537,0.0437750366,3.1349575237,0.9993265955,2258.52186753,1500,0.98,0.004,0.0326022387,0.001904842
